Gene1,Gene2,Label
KIR2DS5,NDUFA4,0
PELP1,SNX5,0
HBA1,KCNH2,0
IYD,KCNB1,0
CITED2,SOD2,1
ARHGAP5,CST2,0
NR4A2,CD1B,1
GRB10,PLCD1,0
MERTK,TMED1,1
SEPSECS,TYSND1,0
DEFA3,ULK4,0
AKR1B1,THAP12,1
ING4,CDC6,1
TEX19,PWP1,0
CETP,PITPNA,0
ELAVL1,BMP1,1
EGF,CCL14,1
COX17,EVI5L,0
TMC2,TTC7A,0
FCGR1A,IL17A,1
KRT23,GLP1R,0
ADGRB1,SST,1
NR5A2,NMI,1
AFF4,HTRA2,0
MPV17,VAT1,0
LDHC,TFPT,0
COPS5,MRPL23,1
PARP1,POLR2E,1
SCUBE3,SCNN1B,0
TMEM9B,PLEKHG5,1
CYP2A6,SH3GL3,0
MTCP1,BCL3,1
APLP1,NR2E1,1
NCKAP1,DRP2,1
FRMPD2,VEGFC,0
CXCL11,TNFRSF11A,1
SLC25A17,SLC7A2,1
ADRB2,GRM1,1
ALKBH5,IGKV2-30,0
CXCR2,ORM1,1
CDK5,TRAIP,1
METAP2,PADI4,1
GPC6,KDM3A,0
PRG4,VTI1B,1
FABP4,IGKV1D-33,0
NPC1,CYC1,0
RREB1,NELFA,1
KRT35,SFRP1,1
BECN2,CHMP2B,0
CDK7,TAL1,1
YAF2,GPR34,0
CEBPA,DEAF1,1
LLGL1,IFNL4,0
MRPL17,LPCAT4,0
PCDHB5,AKAP5,1
DGCR8,RPS6KC1,0
RYBP,IRF7,1
AKR1C1,SYT1,1
MED23,MED26,1
TNIP3,USH1C,0
COL11A1,BEST1,1
SGCD,CLASP1,0
TMIGD3,SEPT6,0
CCR9,GLP1R,1
AKT1,KPNB1,1
CHRM2,LIMK1,1
ASH1L,COPS2,1
AVIL,KCNN3,1
SIPA1L3,ARHGAP5,0
CHRM2,AVPR2,1
KCNJ6,KCNS3,1
MNAT1,POU4F1,1
PDK2,BRS3,1
TMED1,AMH,1
CSF2RA,SPP1,0
CACNB1,CCT4,0
IGSF1,LY6D,1
CTSK,PHF19,0
ALOX15B,CYB5R3,0
PDS5B,RERG,1
MYL5,CARNMT1,0
MIR206,RHOG,0
BBC3,RAMP3,0
PCDH11X,NFE2L2,0
PTBP1,RP9,1
CACNG6,DRAP1,0
TMEM165,DSG3,0
NGEF,MFN1,0
GJB1,FGFBP1,1
SIRT3,SIRT1,1
SGCD,PPARGC1B,0
TNC,PSTPIP1,1
CDK6,GCG,1
GATAD2A,OR52A1,0
DCAF7,CACNA1H,0
GZMB,ING4,1
CDKN1A,SLC4A10,0
NEUROG1,CREG1,1
KHDRBS1,MTCP1,1
RNASE6,CAMLG,1
SCN8A,CBLN1,1
KCNQ3,OPRK1,1
IGF2,TNFRSF11B,1
OSCAR,OR4F29,0
EFNA3,STAB1,1
APBA1,PRPS1,1
METTL1,TTLL8,0
FGD4,MPHOSPH8,0
TMEM17,ASPH,0
PNPLA5,AWAT2,0
MAB21L2,GPR45,1
SLC19A2,NFE4,0
ECE1,DUSP4,0
HOXD13,TRPS1,1
CCL25,MS4A2,0
VCAN,ITGA9,1
IRF8,MAP4K2,1
SLC37A4,FAM210B,0
MARK4,NEURL1,1
MMP7,CASP8,1
ADRA1D,SIPA1,1
UBXN8,PACRG,0
IGKV1-5,SLC13A4,0
IL17A,TEK,1
EPRS,LLGL1,1
OR8K3,SSTR2,0
CREBZF,FUBP3,1
MRPS31,LMOD1,0
FOXE3,HAND1,1
KRTAP1-5,EHMT2,0
NEK1,KRT80,0
ADORA1,PCDHA8,1
NFYC,SMARCA2,1
VPS13A,MIR214,0
MNAT1,BUB3,1
CAMKK2,KAT8,1
CDS1,AIPL1,1
TOB2,RBBP6,1
DNAJA2,HK2,1
SF3A3,JAK3,0
KRTAP16-1,MRPL50,0
POU1F1,SNAPC2,1
KCNJ6,OR4M1,0
MCUR1,CRH,0
F2R,RS1,1
HNRNPUL1,CCL22,1
GTF3C6,IL4,0
SOD2,CIAO1,1
PAX5,ZMYM4,1
COX17,PHKA2,1
FABP1,GNPAT,1
CDH17,SMTN,0
SNRNP200,SF3B3,1
SPACA4,OR5AU1,0
KRTAP6-2,PLD6,0
TNFRSF17,CDK13,1
GPR12,C3AR1,1
BMP2,BRCA2,1
NFE2L1,POU5F1,1
RASA2,KDM1B,0
NFAT5,POLR2F,1
FOXRED1,UBE2F,0
RERG,TNFRSF8,1
MNAT1,SYK,1
C1orf61,PPP1R15B,0
MMP11,PDCD1,1
THEM5,TMEM8C,0
CDKN3,BAP1,1
GABRE,RPL15,0
MTCP1,PDZK1,1
SF3A1,SLC2A9,0
CRKL,PAG1,1
FBXL6,OR10H1,0
PRSS21,BORA,0
CXCL6,SSTR2,1
CARM1,PSMB4,0
SESN1,NOTCH2,1
FNBP1,ATP4A,0
ZP3,ADAM10,0
NR2E3,RUNX3,1
TTLL5,SLC24A5,0
NOB1,PLEC,0
PCDH1,FGF16,1
CLEC3A,NPR3,1
FLT1,CCKBR,1
CCR9,WAS,1
NOS3,TPM1,1
CHRM1,E2F1,1
GAS8,SLC6A15,0
IGFBP4,ZEB1,1
NFATC1,CCNK,1
NDST1,OR4F21,0
ADRB2,CLTCL1,1
SAT1,RPL36,0
GATB,RPL27A,1
FDXR,OXA1L,1
NDRG1,ASL,0
NFAT5,CLCNKB,1
IGF2R,LCAT,0
MEF2C,PAFAH1B3,1
SCLT1,TFAM,0
DTYMK,RET,0
HTR6,ZBTB33,0
SSTR3,CDK10,1
TPM3,SLC47A2,0
TGIF2,PROKR1,0
ADRB2,AKT1,1
ALDOA,ZFP36L1,0
UTS2B,LYRM5,0
EFNB1,PCDHB6,1
STAMBP,ZNF177,0
MIR23B,MICB,0
STAMBP,EGR4,1
KRTAP23-1,CDHR5,0
IGKV1D-33,GABRQ,0
TSC22D1,TAF1A,1
PROM2,EDC3,0
DAOA,HS3ST5,0
IL24,PTK2B,1
INHA,KAT2B,1
THEG,KCNQ3,0
ACLY,YAP1,0
NFRKB,POLR2E,1
AKR1C1,PROK2,0
TNFRSF11B,NKX3-2,1
ALDH2,KPNA7,0
ERBB4,BUB3,1
GJA1,BMP2,1
WHAMM,SNX10,0
FLG2,CHUK,0
NFASC,SP100,0
NTAN1,GOLGA7,0
PNN,ZYX,1
EN2,TNFRSF17,1
FMO2,FXYD2,0
GAGE2D,DNTT,0
MOBP,ST8SIA4,1
FMNL2,MYO9B,0
ELF3,AFF3,1
PCDHA4,MARK4,1
RAMP3,ZHX3,0
CDS1,AGPS,1
BTG1,ING5,1
CDH6,OPCML,1
SLC32A1,DNM1,0
P3H4,CLEC2D,0
IGSF1,ITGBL1,1
COX7B,DSCAM,0
NDUFS5,CRYZ,0
SLC25A5,HK2,0
PCDH1,BHMT2,0
CTSO,PCSK6,1
SIRPA,ALCAM,1
CGRRF1,ING5,1
MIF,NUAK2,1
DRD4,SEPN1,0
FCN2,NR4A2,1
FRK,BCAR3,1
DEFA4,OR8U8,0
NUP160,CRIM1,0
CPQ,MMP9,1
CCR5,SMO,0
GJB1,PCSK6,1
MAP3K11,PRKD1,1
PTS,JRKL,1
PUS3,POP7,0
GNPDA1,SCAMP1,0
DNASE2,MET,0
ERN2,ID4,1
VCAN,PNN,1
HAUS1,PAFAH1B3,0
SLC25A11,ABCG2,1
HAPLN1,STMN3,0
NUDT3,COASY,0
NDRG1,HOOK2,0
DEFB118,SDC1,0
MPHOSPH10,PLSCR1,0
TACSTD2,TCF19,1
MC3R,ACACB,0
ACSL4,OR10A7,0
SZT2,PELP1,0
SMNDC1,PPP1R13B,1
NR5A2,POU1F1,1
IL11,CIAO1,1
LCE1A,PIK3R5,0
PSMC5,KLF5,1
PRSS3P2,CRIM1,0
RPS6KC1,ARF5,0
GRIN2B,HTR2A,1
AK9,NUCB1,0
ARFGAP1,EFR3B,0
OR13C9,EAPP,0
PPP2R1A,LIN7A,1
MGST3,GDE1,1
MYH13,MUC12,0
CCL18,CGB7,1
MARCO,TNFRSF14,1
SYT11,ALAD,0
NUP62,VAPA,1
GUK1,MALSU1,0
CXCL8,VEGFA,1
CYP11B2,AGTR2,1
BBC3,MYO7A,0
CPEB1,ACTR3,0
OR2J3,IGKV2-29,0
CD160,ADRA1D,1
ABHD3,FICD,0
GUCY1B3,TOPORS,0
AADAC,NUDT16L1,0
ABCA5,REV3L,0
LSM6,SNRPC,1
VPS54,AMOT,0
EFNA3,WISP2,1
RPS27,BLZF1,1
GJB1,CXCL11,1
PHKB,AVPR1A,1
CNTN4,LSAMP,1
CXCR2,MC3R,1
GJB1,TSHB,1
PMP22,RAPSN,1
LMTK2,CDK12,1
AKT1,IGF2,1
TMED1,TAF2,0
PAFAH1B3,AMACR,0
CORIN,LCN1,1
IFIT2,NDOR1,0
RNF128,SOX21,0
CST4,GAA,0
TIMM9,WAC,0
LALBA,WISP1,1
PARD6B,ABI2,0
KRT85,WHAMM,0
ADAMTS9,FZD6,1
SMARCD2,DSG2,0
OR2W1,CA13,0
ITGA5,ARF6,1
CASC2,RBM22,0
RANBP9,TAF9,0
PTGDR2,DEFA1,1
IGSF6,LILRB3,1
CNTN3,JUN,0
RAB30,KRT6A,0
CHPT1,MCTS1,0
OLFM1,SCUBE1,0
EFNA2,CD33,1
RPL7,RPL26,1
NOCT,MIR23A,0
DDX17,MARCH2,0
NOS2,NUS1,0
ERGIC1,OR4K3,0
CCL21,FOSL1,1
ATG7,OR2T34,0
UTS2,CLCN1,1
OR6Q1,KRTAP13-3,0
MIF,SAG,1
HTRA4,SERINC5,0
CLCN3,RAB5C,0
OR52A1,PRR5,0
PARP15,MEN1,0
PLAGL1,DPF1,1
SIPA1L3,POLR2E,0
FRS3,FGFR3,1
PPP1R27,CD46,0
ADGRG3,SLC16A2,0
RAPGEFL1,TBXA2R,1
GNB3,NPBWR2,1
RALGDS,NA,0
ALG6,KTN1,0
SNTG2,PTS,1
FZR1,PRKG2,1
COL19A1,ANGPTL4,0
TMEM173,VPREB3,0
HNRNPH1,TFPT,0
CCL4,SELPLG,1
CTSB,PTPRF,0
GAS2L3,DAPK2,0
TMEM225,MAN2C1,0
IL1A,RIPK2,1
CRP,ABCF1,1
BATF3,TAF1A,1
ZBTB33,YWHAE,1
ALDH2,PAK2,0
ARHGDIB,WASL,1
POLR2G,NMI,1
GBP2,NCF4,1
SLC6A2,SYT1,1
SSTR2,CDC6,1
SEC23IP,VAV1,0
RPL11,RPL18,1
KRT28,OR6V1,0
AHR,MAF,1
DLL3,EXT2,1
CD160,COL4A3,1
KCNJ1,ATP1A4,1
INSL4,FGF16,1
POLR2C,BTF3,1
SH3GL1,SH3GL3,1
OMD,ITPR2,0
MMP11,PAEP,1
PIM1,UBE2V2,1
GPR45,TFAP2B,1
ZBTB7B,BMP8A,0
HLA-B,FAM150B,0
CKAP4,ZCRB1,0
ANO4,LRRC41,0
CIB1,AOC3,1
BST1,RUNX1,1
NR6A1,BCAT1,1
MT1X,GATA6,0
ADAM8,FBXO6,0
GLMN,ZNF443,0
HLA-DPA1,MIR210,0
RPL13,SULF1,0
APBA1,SYNE1,0
TBC1D7-LOC100130357,GDF10,0
DOK3,CORO1A,0
CDX2,NFIX,1
INTS10,PRPF19,0
CXCL8,RASD1,1
NPAS2,CELSR1,1
IGFBP4,OSMR,1
FBXO27,RLTPR,0
PMVK,ALDH3A2,1
MOG,RPS6KA3,1
NAT2,OR9Q1,0
BMPER,OR9Q1,0
AIFM3,TP53BP2,1
DSPP,F2,1
DLL1,CXCL8,1
APPL1,CDC27,1
TNFSF10,TNFSF9,1
KRTAP6-1,HSPBP1,0
HTR3E,CHST14,0
XRRA1,CLP1,0
CDC40,DHX16,1
NCR3LG1,RPP14,0
TBX2,GLP2R,1
STAB1,NDP,1
ACAA1,OR6C6,0
SF3B2,SEC61B,0
USP16,CEP68,0
FABP1,DGCR6,1
CRX,TYR,1
DOK1,NECAB3,0
DHX37,CRKL,0
MIR138-2,GPX8,0
CYP2R1,EXPH5,0
NAXE,MIR107,0
COPS4,LMAN2,0
LEFTY1,ESYT3,0
PCSK2,PRSS2,1
GPR12,PTGER3,1
PHLDA1,KCNIP1,0
NOX4,BNIP3,1
URM1,ZNF443,0
PIK3IP1,RAD23A,0
CCL16,ZYX,1
SCN8A,ARPC1B,0
ABL1,DHX16,1
NECTIN3,TRMT1,0
SMTN,SRI,1
HTT,LHX1,1
LTB4R,CCL18,1
GFI1,FTL,0
MCM3,NDUFA4,0
HFE,TCEB2,1
KLRG1,IFITM1,1
TRAPPC6B,DUSP23,0
PDIA5,ATF6,1
ABCA3,OR5F1,0
HDAC6,RPL17,0
TRAF3IP2,TUBB4B,0
OR51L1,LSAMP,0
MPHOSPH8,BRD1,0
TAC4,FAM92A1,0
CNTN2,ABI2,0
GNA13,EID2B,0
TAF1L,ADCY5,0
OXA1L,PGD,1
ACACA,KTN1,0
VTI1B,CD160,1
LAMP1,ETV1,0
DNM1L,AOC1,0
EGFL7,CYP4A22,0
SIRPA,SLURP1,1
SLC47A2,MDGA2,0
POLI,SLC16A8,0
ABCA3,BCAR3,1
SCN8A,CPNE6,1
RASGRP1,FAM3B,0
BTN2A1,CPNE6,1
SRP14,TRIM3,0
CCR9,CXCL10,1
SEPT6,AK5,0
ADRA2A,SSH2,1
RABEPK,HSPA6,0
A1BG,CLDN4,0
LRP6,LRRC26,0
GCG,SERPINF1,1
LYRM5,NGFR,0
GCG,GRM1,1
TNFRSF13B,UHRF1,0
DPPA4,RASGRP3,0
PCDHA11,ACTN2,1
TIFAB,FAM98B,0
BOP1,HES1,0
SLC43A2,ARRB1,0
GCH1,BCAP31,0
OXTR,PSG11,1
DBP,SUPT3H,1
AFP,TNNT3,0
FNBP1,ANKS4B,0
PCDH8,SRD5A2,1
MAF,SHOX,1
VENTX,DRAM1,0
APBA1,LSAMP,1
STAT1,HAND1,1
GPR39,PTGER2,1
ACOT8,CPNE6,1
HSF2BP,ETV1,1
DTX1,CREB5,1
EIF4A2,EIF3F,1
HNRNPUL1,SPCS1,0
RASGRP4,ISG20,1
ADGRB1,CNOT8,1
HMGA2,DLK1,1
DSG4,ELL3,0
C1orf61,IDH3A,0
AKR1C1,FDXR,1
OR2I1P,PRELID1,0
AUTS2,ANKFY1,0
CRHR1,MAP9,0
HBE1,TTLL8,0
OSBPL6,NLRC5,0
VNN2,WASF1,1
METAP1,SNAPC3,0
APBA1,LAMB1,1
TMPRSS11E,IGHM,0
RABGGTA,RPN2,1
KCNIP4,SOCS4,0
DCX,DCLK1,1
CEBPB,NR5A2,1
LSM4,SRSF7,1
MEIS2,ACOT9,0
SLC26A1,UQCC1,0
NTSR1,RIT2,1
HID1,LAMC1,0
CHD3,NEUROG1,1
SPTB,FHL3,0
MPV17,EEF1D,0
ATP6V1C2,GALNT13,0
FASTK,PCSK2,0
GPR176,MSLN,0
ALB,AQP4,1
GIPR,COL5A3,0
CDKN3,BCCIP,1
POMT1,MCL1,1
SCN8A,ENC1,1
HNF4A,SMARCAL1,1
NCF4,AQP1,0
ATF6B,LRRC26,0
EXT1,GHRHR,1
ALMS1,CSRP1,0
GPR12,PTAFR,1
PTTG1,IPO8,0
MAU2,FBXO45,0
CTPS2,HTRA4,0
PTK2B,IKBKAP,1
PPP6R1,TRMT1,0
STUB1,DZIP3,1
ANAPC10,MKI67,1
SIK3,RENBP,0
EPHA6,DHRS9,0
DLL3,COL2A1,1
PTCH1,LGI1,1
KLF1,CCL22,0
RPL13,RPL26,1
TAF1A,GADD45G,0
SLC27A5,NANOS1,0
ANXA1,APOF,1
KLRG1,GEM,1
CABIN1,MYO5A,0
HMG20B,NDUFAF1,0
TARDBP,NOLC1,1
SHC3,SH3GL3,1
RAB35,KRTAP10-7,0
NA,SNTG2,0
ZNF346,LUC7L3,1
KRT16,CD81,1
OR2J2,GM2A,0
TAGLN3,SNCA,1
LCN1,BLM,1
GCG,NDP,1
LYPLA1,AUTS2,0
KIF26A,PRMT7,0
TBXAS1,MUC12,0
UBXN8,AK7,0
CCR3,ITGB1,1
CDK6,FES,1
GAA,SLC2A12,0
ANAPC10,MAN2C1,0
SLC17A9,OR8I2,0
CAPNS1,TSGA13,0
PIK3AP1,KRT82,0
IL12RB2,SLAMF1,1
UTS2,SLC1A3,1
INSL3,PGF,1
KLHDC3,SHC2,0
IL17F,CYP26A1,0
AMZ1,SOX6,0
KHDRBS1,AGER,1
UBE2H,UBE4A,1
CXCR2,CCL19,1
COL16A1,IL5,0
OR5P2,TICAM2,0
NRBP1,ERGIC2,1
EPHB1,FGF12,1
C4BPB,ADH4,0
POU1F1,RARRES3,1
SUPT16H,SNIP1,0
KDM5A,TRIM24,1
TRIM29,POU1F1,1
GDAP1,BASP1,0
FGFR1OP,TSPAN31,1
ADRA1D,MIF,1
POLL,FAM109A,0
RBBP7,RS1,1
ATXN3L,MERTK,0
VMA21,AMFR,0
GHR,ACER3,0
DLL3,EXT1,1
NME2P1,PCDHA11,0
ITGAV,LY6D,1
IRF2,PYY,1
TPM1,CAPZA1,1
KCND2,MAP3K9,0
HTR3E,PSIP1,0
KPNA3,IGHV2-70,0
ADAM8,DEPDC1,0
ADRA2C,ADH7,0
HTT,FGF16,1
DEFB128,CEP162,0
CLCN1,TACR2,1
COL18A1,UNC119,1
SLC7A4,JMY,0
DNPH1,MXD1,1
KHDRBS1,REG1B,1
CTSS,C5AR1,1
MEFV,CCL4,1
ELF2,FOXN1,1
SEC24B,ABCA3,0
CNIH1,RFX1,1
KCNK7,QARS,0
TRPV5,NUP188,0
MAEA,MUSK,1
CYP46A1,DLX5,1
GJA1,FGFBP1,1
ABCA3,OR11H4,0
ASB15,KDM1A,0
CRYBB1,EML2,1
GPR139,PATE4,0
AMER2,RALGDS,0
CD300LF,SRGN,0
MCTS1,CDK17,1
DEFA1,SLC39A2,0
TMED7,SLC15A4,0
NACA,RPL27A,1
PHACTR1,KCNQ3,0
DCAF7,OR6S1,0
TOB1,ING1,1
CLEC4G,POU2F2,0
FYB,ARPC1A,0
RASGRP4,CD70,1
ETS1,IL21,0
VPS45,GPT2,0
HLA-DRB3,PTAFR,1
NRDC,CAMK2N1,1
OR10T2,ROBO2,0
CENPC,MOGS,0
ACOT1,LIN54,0
NECTIN2,VTI1B,0
TAL1,CDC25A,1
FUT9,SLC5A7,0
MAL,S100B,1
HTATSF1,JUND,1
CXCL8,BTG1,1
ATP7B,MRPL3,0
FBXO22,TENM3,0
DPP8,PRKRA,1
ADORA1,AMH,1
CHRNB2,THAP1,0
CCL3,NMI,1
MTX2,MS4A2,0
PAX6,CEBPB,0
E2F1,GPR1,0
AGTR2,F2R,1
SLC30A8,ABI3,0
AGGF1,IL32,1
DPYSL4,CHRM3,1
MIR223,ADRA2A,0
EBP,SUFU,0
E2F1,MAPRE1,1
GPC3,COL2A1,0
CHRNA4,TMOD2,1
SCT,ZNF366,0
ASMT,RPL3,1
ADRA1D,GPR17,1
PAX2,TRIM24,1
TACR2,CACNA1S,1
COPE,LIPE,0
DEC1,TM4SF4,1
CORIN,CLTCL1,1
GCSH,PGLYRP2,0
FFAR2,PTGER2,1
KCNA1,KCNA10,1
CHRM2,ST8SIA2,1
PTPRQ,POP7,0
ADAM30,IKZF4,0
RAB21,GRIA1,0
CMA1,GNAL,0
GJA5,SSPN,1
RFK,TSEN15,0
AKT1,AKAP12,1
PDIA2,PTGDR2,0
RAB32,GALR1,0
LRP1,KITLG,1
CAMLG,IL32,1
TMOD2,SHOX2,1
CYR61,MTCP1,1
ZFYVE27,LCE3D,0
CCR8,NPY4R,1
FZR1,RPS4X,1
CTNND2,OR2A25,0
FGF11,TEK,1
CNN2,PLD2,1
CXCL2,CXCL10,1
CSF1R,LIF,1
FBN2,PDP2,0
IGHV4-59,PACRG,0
MAPK11,BLK,1
RBM6,NME5,0
IKZF1,USP16,0
BTD,TRAF3IP2,0
RCAN3,TBX6,1
TSPAN4,PTCH2,1
MEMO1,FGF8,0
BRCA1,MED27,1
AGER,AOX1,1
MSRB3,KRT10,0
CDC37,CDK5R2,1
PTPRQ,OR6B1,0
IPMK,PYY,0
HTR5A,PTGER3,1
RTP4,FICD,0
MME,STC1,1
MIF,TAL1,1
TRMT61A,THOC2,0
RAB32,CP,0
SKP2,USP8,1
GPR75,GPR15,1
FGF13,NR2C2,1
CCL17,SDR16C5,0
ATF2,MIR224,0
ATOH7,MAP3K9,0
EDAR,SPRR1B,1
CSF2RA,HTR1E,0
RBKS,RAB11FIP2,0
PRELID1,TCP11,1
DZIP3,UBE3C,1
LMBR1L,GNAZ,0
EREG,SYK,1
CTSG,ADAMTS4,1
AAK1,NKX3-2,0
GPC3,FCHO1,0
DEFA1,CCL22,1
GHSR,PTGER2,1
POLA2,NR2E3,0
NFATC3,CCL3,1
MAF,POLR2J,1
RTN4,DNAJC2,0
IGSF6,FYB,1
HMGA1,SLC7A7,1
MAD2L2,DAPK2,0
D2HGDH,FBXO15,0
GJB7,TMEM17,0
SYF2,REXO2,0
BRINP1,PDK2,0
UMOD,VHL,1
MAP3K11,NANOG,1
TAF1L,KAT2A,1
OR52D1,PITX3,0
NELFE,XIRP1,0
FANCL,ANAPC10,0
IDI1,RHOH,0
PLA2G4B,TRIM3,0
ZFHX3,MYEF2,1
TENM1,GBP2,1
MNAT1,TAL1,1
ADSS,MTCH1,0
HPN,OR4F21,0
DSPP,DDX41,1
COL18A1,RERG,1
NOTCH2,CD2,1
VHL,ZNF136,1
DDIT3,SPDYA,1
LAMC1,LLGL1,1
BRWD1,GPR78,0
POLE2,BLM,1
NOP2,STAT1,1
ADRA1D,RARG,1
ALDH2,ST8SIA2,1
CDK2,LRRC8E,0
HOXB2,MUSK,1
PPP1CA,GJA1,0
ZNF443,MAP4K4,1
TMED1,IL36G,1
OSBPL1A,ADRB3,0
IGFBP5,RXFP4,0
PCDH1,CEACAM5,0
NPY,KLF10,1
LYST,TP53,0
CFD,HTRA2,1
OR5P3,RAB20,0
IL24,BNIP2,1
SDS,RPS3,0
FUS,OR1I1,0
RAPGEF3,CREG1,1
USP33,IFT80,0
PMF1,TSC22D1,1
TMEM74,NFATC1,0
CTBP2,IFITM1,1
UNC5CL,ADAR,0
CLEC12B,OR52N2,0
SERPINB8,ALDH3A2,0
IAPP,PHEX,1
COPS2,HAND1,1
DEFB118,REPS1,0
GPHA2,PPP2R5C,0
NR3C1,GCSH,0
INSIG1,MTCP1,1
ELF5,RUNX3,1
CDH6,CTNNA1,0
GNG5,NPLOC4,0
FGF2,PTAFR,1
EN2,ARHGDIB,1
TOR1B,HSPA2,1
IL15,FGFBP1,1
AQP4,SLC7A7,1
ALDH3B1,NR2F2,1
SASS6,ANXA1,0
HPSE2,RTN4RL1,0
MIR1290,TP53BP2,0
IGLV6-57,CDH5,0
GIMAP7,VWF,0
CHRNG,FBXO45,0
F2R,CCL4,1
FKTN,PCDHAC1,1
AGXT,PPP2R5C,0
BCO2,CNTFR,0
OPN1LW,APLF,0
ATP11C,SPIN1,0
GPR176,SYT1,1
CHD4,KRT38,0
SRPRB,SOX21,0
LPAR3,RAPSN,1
POU2AF1,NMI,1
OR2A4,NCOA2,0
ZNF750,OR51A7,0
TAF6,SDCCAG8,0
TIMM8A,MAN2B1,0
BCL9,PAIP1,0
IK,CCL21,1
RALB,PEG10,0
SLC25A5,SLC7A5,1
SHOX2,NEURL1,1
TIRAP,SH3GL1,0
FOXE3,PAX1,1
RPRD1A,SLC27A6,0
RUSC1,MIR222,0
RBMS1,SET,1
HTT,GULP1,1
GPX5,OR2T2,0
UQCR11,THG1L,0
NCCRP1,ZNF513,0
C2orf44,ERCC8,0
PITPNM2,DUSP1,0
CCL26,FCGR1A,1
ANXA4,TNF,1
MAP4K5,OSGIN1,0
IDH1,TFF1,1
UFL1,RUVBL2,0
HOXB5,BICD1,1
HOXC6,SMARCE1,1
S1PR3,TNFSF4,1
PURA,TCEB3C,0
KBTBD13,OR6C2,0
CDC40,RP9,1
SLC6A18,PHGDH,0
ALB,SLC7A7,1
SEPHS1,H2AFZ,0
HCAR1,IGLV3-1,0
DPYSL4,SCRG1,1
MATK,ZFP36L2,1
F2R,JAG1,0
MAP4K5,ICK,1
TUBB,VCL,1
ETFDH,SIRT3,0
NFYC,DEK,1
ABCB9,ZNF589,0
COLEC10,NFAT5,0
IL9,TIMP1,1
VPS33A,APOBEC3D,0
POLR3K,IDH3A,0
TRIM3,PYURF,0
AKR1B1,SMAD7,1
CPA3,MMP11,1
RTP2,UBE2K,0
MCHR1,OPRK1,1
FPGS,H1F0,0
CDK2,BCL6,1
ARHGDIA,CERCAM,1
NTSR1,DPEP1,0
GRAP,FGF2,1
GTF2F1,MED27,1
TAL1,CD81,1
EPB41,CXCL10,1
CCDC109B,CYP2D6,0
COG2,NAPA,1
ADAM29,COLQ,0
OR1J2,NDUFS2,0
PKD2,TLE3,1
MAPRE1,LRP1,1
CXXC1,MLLT6,1
SCEL,ZBTB33,0
BEX3,CHST2,1
ARR3,PAX6,1
PDE7B,CACNA1A,1
PFDN2,TRIM29,0
NT5C3B,OR2W1,0
FSCN2,HLA-B,0
HLA-DRB4,NTSR1,0
ACRV1,HMGA2,1
IRF2,CBFA2T3,1
DLL3,ARSE,1
TYMP,ALDH1L1,0
ANAPC4,MATK,1
FBF1,HHLA2,0
OR6B1,DNAJC2,0
CCL16,VIPR2,1
MTRR,MAT2A,0
DUS2,OLFM4,0
TGOLN2,PGC,0
MTAP,OAS3,1
FAM162A,CEP126,0
FOXN1,CD48,1
ADD3,TCOF1,0
STAG1,SLC18A1,0
DES,RYR1,1
DGKB,BACH1,0
TRAPPC2,ZNF35,1
SPDYC,ACPP,1
CDKN2C,COL18A1,1
SLC40A1,EOMES,1
AGRP,MRPS22,0
DEAF1,MNT,1
TMOD4,SLC6A8,1
F2R,HMGB3,1
PTCH1,CBFA2T3,1
PTK2B,AGR2,0
PTBP1,GCAT,0
KRT24,XRCC4,0
KCNJ14,GPX2,0
PRSS3P2,HECW2,0
MMP14,CASP2,1
HOXD13,CHRD,1
PPIP5K2,AMACR,0
RTP2,NFKBIA,0
TUBB,LSP1,1
KLRC3,GSTK1,0
ALG1,B3GALNT1,1
OLFM1,SOD1,1
STMN3,MMP21,0
TRAPPC6B,SPRN,0
POU1F1,NCOR1,1
CIDEA,PPT1,1
SLC35G1,H3F3C,0
NAMPT,GJB2,1
KCNQ3,SCN2B,1
OR5D14,WRAP73,0
ULK4,IFT43,0
AHR,RBAK,1
CYR61,CD81,1
GDI2,OTUD6B,0
ALDH7A1,USH2A,1
EIF2B1,MIR96,0
CSTF2T,TRIM16,0
MIR526A1,RABGAP1,0
CHRNA3,CIDEB,0
SMPX,CHGA,0
BBC3,TNFSF15,1
RHOA,PRKG1,1
SPDL1,SLC27A2,0
CDK9,UBE2V1,1
CHKB,RASGRP4,0
ABCB1,ABCG2,1
DNPH1,LRP1,1
KDELR1,IGLV6-57,0
CHST8,ENSA,0
LIMD1,ZMYM4,1
AVIL,GMFB,1
KBTBD13,TAOK3,0
VTI1A,MOV10,0
UTP11,DHRS9,0
OR2M3,CRISPLD1,0
EP300,OPHN1,1
DRD4,HTR6,1
ROR1,TIPARP,0
ADCYAP1,GJA1,1
SYN2,CBLN1,1
CCL20,CD33,1
SEMA3F,NUP160,0
APEX1,PSMC5,1
MNT,PLK1,1
CIB1,GZMB,1
CHRM4,PA2G4,1
CCL13,BMP2,1
MSI1,PCDHAC2,1
SNTG2,BTD,1
MERTK,ASGR2,1
ADRA2C,GPR17,1
KCNJ5,MLNR,0
SLC6A8,CYP4A11,0
CHRM2,GRK5,1
CDH7,FMO3,0
GCG,LMO1,1
PLA2G2E,CYP4F11,1
MCL1,MIR128-1,0
SIRPA,USH2A,1
NECAP1,GPC2,0
LDHB,ASL,0
